Date,Close
10/1/2019 16:00:00,83.61
10/2/2019 16:00:00,81.62
10/3/2019 16:00:00,82.74
10/4/2019 16:00:00,85
10/7/2019 16:00:00,84.39
10/8/2019 16:00:00,83.29
10/9/2019 16:00:00,84.18
10/10/2019 16:00:00,83.76
10/11/2019 16:00:00,84.34
10/14/2019 16:00:00,84.69
10/15/2019 16:00:00,85.04
10/16/2019 16:00:00,84.45
10/17/2019 16:00:00,83.8
10/18/2019 16:00:00,84.68
10/21/2019 16:00:00,84.52
10/22/2019 16:00:00,81.3
10/23/2019 16:00:00,82.87
10/24/2019 16:00:00,82.58
10/25/2019 16:00:00,82.26
10/28/2019 16:00:00,82.2
10/29/2019 16:00:00,85.1
10/30/2019 16:00:00,86.22
10/31/2019 16:00:00,86.66
11/1/2019 16:00:00,84.94
11/4/2019 16:00:00,83.9
11/5/2019 16:00:00,82.92
11/6/2019 16:00:00,83.25
11/7/2019 16:00:00,82.88
11/8/2019 16:00:00,83.59
11/11/2019 16:00:00,83.28
11/12/2019 16:00:00,84.12
11/13/2019 16:00:00,84.82
11/14/2019 16:00:00,84.55
11/15/2019 16:00:00,84.9
11/18/2019 16:00:00,84.13
11/19/2019 16:00:00,84.65
11/20/2019 16:00:00,85.27
11/21/2019 16:00:00,85.46
11/22/2019 16:00:00,85.45
11/25/2019 16:00:00,85.7
11/26/2019 16:00:00,87.34
11/27/2019 16:00:00,87.61
11/29/2019 13:00:00,87.18
12/2/2019 16:00:00,87.04
12/3/2019 16:00:00,87.38
12/4/2019 16:00:00,88.67
12/5/2019 16:00:00,88.75
12/6/2019 16:00:00,88.85
12/9/2019 16:00:00,88.72
12/10/2019 16:00:00,89.1
12/11/2019 16:00:00,88.98
12/12/2019 16:00:00,89.57
12/13/2019 16:00:00,89.19
12/16/2019 16:00:00,89.29
12/17/2019 16:00:00,89.02
12/18/2019 16:00:00,89.62
12/19/2019 16:00:00,89.99
12/20/2019 16:00:00,91.58
12/23/2019 16:00:00,91.74
12/24/2019 13:00:00,91.44
12/26/2019 16:00:00,91.34
12/27/2019 16:00:00,91.5
12/30/2019 16:00:00,91.03
12/31/2019 16:00:00,90.95
1/2/2020 16:00:00,92.04
1/3/2020 16:00:00,91.25
1/6/2020 16:00:00,91.64
1/7/2020 16:00:00,89.2
1/8/2020 16:00:00,88.6
1/9/2020 16:00:00,89.38
1/10/2020 16:00:00,89.53
1/13/2020 16:00:00,89.51
1/14/2020 16:00:00,89.93
1/15/2020 16:00:00,91.54
1/16/2020 16:00:00,91.18
1/17/2020 16:00:00,90.97
1/21/2020 16:00:00,89.97
1/22/2020 16:00:00,89.65
1/23/2020 16:00:00,88.56
1/24/2020 16:00:00,85.98
1/27/2020 16:00:00,86.1
1/28/2020 16:00:00,86.25
1/29/2020 16:00:00,87.24
1/30/2020 16:00:00,86.5
1/31/2020 16:00:00,85.44
2/3/2020 16:00:00,87.34
2/4/2020 16:00:00,88.36
2/5/2020 16:00:00,85.83
2/6/2020 16:00:00,85.68
2/7/2020 16:00:00,85.08
2/10/2020 16:00:00,85.66
2/11/2020 16:00:00,85.25
2/12/2020 16:00:00,83.25
2/13/2020 16:00:00,81.97
2/14/2020 16:00:00,82.65
2/18/2020 16:00:00,82.46
2/19/2020 16:00:00,82
2/20/2020 16:00:00,82.49
2/21/2020 16:00:00,82.34
2/24/2020 16:00:00,81.33
2/25/2020 16:00:00,80.27
2/26/2020 16:00:00,79.94
2/27/2020 16:00:00,78.08
2/28/2020 16:00:00,76.56
3/2/2020 16:00:00,81.37
3/3/2020 16:00:00,79.13
3/4/2020 16:00:00,82.97
3/5/2020 16:00:00,81.58
3/6/2020 16:00:00,82.2
3/9/2020 16:00:00,78.96
3/10/2020 16:00:00,82.02
3/11/2020 16:00:00,79.25
3/12/2020 16:00:00,74.45
3/13/2020 16:00:00,76.75
3/16/2020 16:00:00,69.92
3/17/2020 16:00:00,74.48
3/18/2020 16:00:00,71.63
3/19/2020 16:00:00,70.73
3/20/2020 16:00:00,71.36
3/23/2020 16:00:00,66.4
3/24/2020 16:00:00,69.05
3/25/2020 16:00:00,68.22
3/26/2020 16:00:00,73.53
3/27/2020 16:00:00,71.73
3/30/2020 16:00:00,76.95
3/31/2020 16:00:00,76.94
4/1/2020 16:00:00,73.8
4/2/2020 16:00:00,76.87
4/3/2020 16:00:00,76.25
4/6/2020 16:00:00,80.31
4/7/2020 16:00:00,78.56
4/8/2020 16:00:00,81.62
4/9/2020 16:00:00,82.49
4/13/2020 16:00:00,80.54
4/14/2020 16:00:00,82.84
4/15/2020 16:00:00,82.07
4/16/2020 16:00:00,83
