Date,Close
10/1/2019 16:00:00,109.52
10/2/2019 16:00:00,106.35
10/3/2019 16:00:00,106.37
10/4/2019 16:00:00,107.42
10/7/2019 16:00:00,108.23
10/8/2019 16:00:00,106.5
10/9/2019 16:00:00,106.3
10/10/2019 16:00:00,108.19
10/11/2019 16:00:00,110.81
10/14/2019 16:00:00,110.67
10/15/2019 16:00:00,112.42
10/16/2019 16:00:00,112.33
10/17/2019 16:00:00,112.6
10/18/2019 16:00:00,112.84
10/21/2019 16:00:00,111.95
10/22/2019 16:00:00,112.47
10/23/2019 16:00:00,111.51
10/24/2019 16:00:00,110.87
10/25/2019 16:00:00,111.58
10/28/2019 16:00:00,111.64
10/29/2019 16:00:00,109.53
10/30/2019 16:00:00,111.28
10/31/2019 16:00:00,111.61
11/1/2019 16:00:00,112.95
11/4/2019 16:00:00,112.62
11/5/2019 16:00:00,112.2
11/6/2019 16:00:00,112.67
11/7/2019 16:00:00,112.6
11/8/2019 16:00:00,114
11/11/2019 16:00:00,114.45
11/12/2019 16:00:00,114.32
11/13/2019 16:00:00,112.85
11/14/2019 16:00:00,114.54
11/15/2019 16:00:00,115.52
11/18/2019 16:00:00,115.02
11/19/2019 16:00:00,113.4
11/20/2019 16:00:00,117.83
11/21/2019 16:00:00,117.02
11/22/2019 16:00:00,118.2
11/25/2019 16:00:00,117
11/26/2019 16:00:00,117.78
11/27/2019 16:00:00,118.46
11/29/2019 13:00:00,117.31
12/2/2019 16:00:00,116
12/3/2019 16:00:00,114.55
12/4/2019 16:00:00,115.46
12/5/2019 16:00:00,115.58
12/6/2019 16:00:00,116.28
12/9/2019 16:00:00,117.87
12/10/2019 16:00:00,116.48
12/11/2019 16:00:00,117.66
12/12/2019 16:00:00,118.2
12/13/2019 16:00:00,118.5
12/16/2019 16:00:00,120.08
12/17/2019 16:00:00,119.32
12/18/2019 16:00:00,119.31
12/19/2019 16:00:00,120.21
12/20/2019 16:00:00,119.73
12/23/2019 16:00:00,119.59
12/24/2019 13:00:00,119.77
12/26/2019 16:00:00,119.73
12/27/2019 16:00:00,120.23
12/30/2019 16:00:00,120.05
12/31/2019 16:00:00,119.76
1/2/2020 16:00:00,120.46
1/3/2020 16:00:00,119.6
1/6/2020 16:00:00,120.35
1/7/2020 16:00:00,119.63
1/8/2020 16:00:00,121.53
1/9/2020 16:00:00,122.05
1/10/2020 16:00:00,121
1/13/2020 16:00:00,121.05
1/14/2020 16:00:00,120.07
1/15/2020 16:00:00,119.52
1/16/2020 16:00:00,119.27
1/17/2020 16:00:00,122.36
1/21/2020 16:00:00,120.93
1/22/2020 16:00:00,121.91
1/23/2020 16:00:00,122.71
1/24/2020 16:00:00,120.23
1/27/2020 16:00:00,119.76
1/28/2020 16:00:00,121.15
1/29/2020 16:00:00,120.42
1/30/2020 16:00:00,119.72
1/31/2020 16:00:00,116.24
2/3/2020 16:00:00,117.18
2/4/2020 16:00:00,119.35
2/5/2020 16:00:00,122.13
2/6/2020 16:00:00,121.51
2/7/2020 16:00:00,121.48
2/10/2020 16:00:00,121.21
2/11/2020 16:00:00,123.03
2/12/2020 16:00:00,125.03
2/13/2020 16:00:00,124.77
2/14/2020 16:00:00,125.42
2/18/2020 16:00:00,123.23
2/19/2020 16:00:00,123.44
2/20/2020 16:00:00,126.57
2/21/2020 16:00:00,125.31
2/24/2020 16:00:00,122.91
2/25/2020 16:00:00,118.52
2/26/2020 16:00:00,113.3
2/27/2020 16:00:00,107.62
2/28/2020 16:00:00,106.57
3/2/2020 16:00:00,111.04
3/3/2020 16:00:00,108.56
3/4/2020 16:00:00,113.29
3/5/2020 16:00:00,107.52
3/6/2020 16:00:00,105.31
3/9/2020 16:00:00,94.22
3/10/2020 16:00:00,104.02
3/11/2020 16:00:00,99.15
3/12/2020 16:00:00,89.92
3/13/2020 16:00:00,96.49
3/16/2020 16:00:00,72.59
3/17/2020 16:00:00,73.79
3/18/2020 16:00:00,65.02
3/19/2020 16:00:00,69.87
3/20/2020 16:00:00,66.36
3/23/2020 16:00:00,67.8
3/24/2020 16:00:00,77.3
3/25/2020 16:00:00,83.72
3/26/2020 16:00:00,88.11
3/27/2020 16:00:00,86.98
3/30/2020 16:00:00,88.71
3/31/2020 16:00:00,86.05
4/1/2020 16:00:00,80.42
4/2/2020 16:00:00,82.86
4/3/2020 16:00:00,82.2
4/6/2020 16:00:00,88.77
4/7/2020 16:00:00,90.96
4/8/2020 16:00:00,94.35
4/9/2020 16:00:00,95.31
4/13/2020 16:00:00,95.2
4/14/2020 16:00:00,99.07
4/15/2020 16:00:00,94.34
4/16/2020 16:00:00,92.44
4/17/2020 16:00:00,97.1
4/20/2020 16:00:00,95.13
4/21/2020 16:00:00,92.62
4/22/2020 16:00:00,94.95
4/23/2020 16:00:00,94.9
4/24/2020 16:00:00,98.75
4/27/2020 16:00:00,101.97
4/28/2020 16:00:00,103.52
4/29/2020 16:00:00,106.16
4/30/2020 16:00:00,104.75
5/1/2020 16:00:00,104.46
5/4/2020 16:00:00,107.35
5/5/2020 16:00:00,110.15
5/6/2020 16:00:00,109.62
5/7/2020 16:00:00,111.92
5/8/2020 16:00:00,114.23
5/11/2020 16:00:00,113.39
5/12/2020 16:00:00,111.24
5/13/2020 16:00:00,110.43
5/14/2020 16:00:00,110.39
5/15/2020 16:00:00,113.78
5/18/2020 16:00:00,116.73
5/19/2020 16:00:00,116.87
5/20/2020 16:00:00,116.99
5/21/2020 16:00:00,120.64
5/22/2020 16:00:00,122.25
5/26/2020 16:00:00,123.59
5/27/2020 16:00:00,128.01
5/28/2020 16:00:00,128.12
5/29/2020 16:00:00,130.35
6/1/2020 16:00:00,129.32
6/2/2020 16:00:00,131.98
6/3/2020 16:00:00,132.84
6/4/2020 16:00:00,128.68
6/5/2020 16:00:00,130.97
6/8/2020 16:00:00,130.81
6/9/2020 16:00:00,129.57
6/10/2020 16:00:00,130.1
6/11/2020 16:00:00,123.94
6/12/2020 16:00:00,126.05
6/15/2020 16:00:00,127.73
6/16/2020 16:00:00,131.74
6/17/2020 16:00:00,135.65
6/18/2020 16:00:00,134.55
6/19/2020 16:00:00,133.83
6/22/2020 16:00:00,134.72
6/23/2020 16:00:00,134.28
6/24/2020 16:00:00,131.98
6/25/2020 16:00:00,131.77
6/26/2020 16:00:00,129.41
6/29/2020 16:00:00,133.52
6/30/2020 16:00:00,135.12
7/1/2020 16:00:00,135.63
7/2/2020 16:00:00,135.71
7/6/2020 16:00:00,135.76
7/7/2020 16:00:00,135.02
7/8/2020 16:00:00,135.75
7/9/2020 16:00:00,135.61
7/10/2020 16:00:00,137.43
7/13/2020 16:00:00,136.55
7/14/2020 16:00:00,140.06
7/15/2020 16:00:00,141.22
7/16/2020 16:00:00,142.75
7/17/2020 16:00:00,144.39
7/20/2020 16:00:00,144.1
7/21/2020 16:00:00,145
7/22/2020 16:00:00,148.54
7/23/2020 16:00:00,146.5
7/24/2020 16:00:00,147.03
7/27/2020 16:00:00,149.12
7/28/2020 16:00:00,147.71
7/29/2020 16:00:00,148.71
7/30/2020 16:00:00,149.2
7/31/2020 16:00:00,148.91
8/3/2020 16:00:00,150.27
8/4/2020 16:00:00,149.67
8/5/2020 16:00:00,150.26
8/6/2020 16:00:00,151.19
8/7/2020 16:00:00,152.78
8/10/2020 16:00:00,153.72
8/11/2020 16:00:00,153.87
8/12/2020 16:00:00,156.63
8/13/2020 16:00:00,155.7
8/14/2020 16:00:00,154.34
8/17/2020 16:00:00,158.41
8/18/2020 16:00:00,157.91
8/19/2020 16:00:00,158.28
8/20/2020 16:00:00,158.58
8/21/2020 16:00:00,161.72
8/24/2020 16:00:00,165.63
8/25/2020 16:00:00,165.92
8/26/2020 16:00:00,170.39
8/27/2020 16:00:00,166.31
8/28/2020 16:00:00,165.51
8/31/2020 16:00:00,164.69
9/1/2020 16:00:00,167.59
9/2/2020 16:00:00,170.49
9/3/2020 16:00:00,161.52
9/4/2020 16:00:00,156.39
9/8/2020 16:00:00,153.74
9/9/2020 16:00:00,159.53
9/10/2020 16:00:00,158.33
9/11/2020 16:00:00,161.89
9/14/2020 16:00:00,165.19
9/15/2020 16:00:00,169.03
9/16/2020 16:00:00,166.71
9/17/2020 16:00:00,163.78
9/18/2020 16:00:00,160.1
9/21/2020 16:00:00,159.6
9/22/2020 16:00:00,161.55
9/23/2020 16:00:00,158.61
9/24/2020 16:00:00,158.52
9/25/2020 16:00:00,159.55
9/28/2020 16:00:00,162.59
9/29/2020 16:00:00,162.26
9/30/2020 16:00:00,165.86
